Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
South African Journal of Communication Disorders,0379-8046,2225-4765,English,AOSIS,Yes,CC BY,Yes
South African Journal of Economic and Management Sciences,1015-8812,2222-3436,English,AOSIS,Yes,CC BY,Yes
South African Journal of Information Management,2078-1865,1560-683X,English,AOSIS,Yes,CC BY,Yes
SA Journal of Human Resource Management,1683-7584,2071-078X,English,AOSIS,Yes,CC BY,Yes
SA Journal of Industrial Psychology,0258-5200,2071-0763,English,AOSIS,Yes,CC BY,Yes
Pharmacia,0428-0296,2603-557X,English,Pensoft Publishers,Yes,CC BY,Yes
Vegetation Classification and Survey (VCS),,2683-0671,English,Pensoft Publishers,Yes,CC BY,Yes
Clinical Kidney Journal,,2048-8513,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Conservation Physiology,,2051-1434,English,Oxford University Press,No,CC BY,Yes
AoB Plants,,2041-2851,English,Oxford University Press,No,CC BY,Yes
Burns & Trauma,,2321-3876,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Brain Communications,,2632-1297,English,Oxford University Press,No,CC BY,Yes
Transportation Safety and Environment,,2631-4428,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Virus Evolution,,2057-1577,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Human Reproduction Open,,2399-3529,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of the Endocrine Society,,2472-1972,English,Endocrine Society,No,"CC BY, CC BY-NC-ND",Yes
Schizophrenia Bulletin Open,,2632-7899,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Insect Science,,1536-2442,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Life Metabolism,,2755-0230,English,Oxford University Press,No,CC BY,No
The Oncologist,,1549-490X,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Q Open,,2633-9048,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
FEMS Microbes,,2633-6685,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Computational Design and Engineering,,2288-5048,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Cybersecurity,,2057-2093,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
JNCI Cancer Spectrum,,2515-5091,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Regenerative Biomaterials,,2056-3426,English,Oxford University Press,No,CC BY,Yes
Open Forum Infectious Diseases,,2328-8957,English,Oxford University Press,No,"CC BY, CC BY-NC-ND",Yes
Oxford Medical Case Reports,,2053-8855,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
NAR Cancer,,2632-8674,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Surgical Case Reports,,2042-8812,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Rheumatology Advances in Practice,,2514-1775,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of the Canadian Association of Gastroenterology,2515-2084,2515-2092,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Neuroscience of Consciousness,,2057-2107,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
NAR Genomics and Bioinformatics,,2631-9268,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Radical Americas,,2399-4606,English,UCL Press,Yes,CC BY,No
Jewish Historical Studies: Transactions of the Jewish Historical Society of England,,2397-1290,English,UCL Press,Yes,CC BY,No
International Journal of Social Pedagogy,,2051-5804,English,UCL Press,Yes,CC BY,No
Archaeology International,1463-1725,2048-4194,English,UCL Press,Yes,CC BY,No
The Journal of the Sylvia Townsend Warner Society,1475-1674,2398-0605,English,UCL Press,Yes,CC BY,No
Oxford Open Immunology,,2633-6960,English,Oxford University Press,No,CC BY,Yes
JAMIA Open,,2574-2531,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
UCL Open Environment,,2632-0886,English,UCL Press,Yes,CC BY,Yes
London Review of Education,1474-8460,1474-8479,English,UCL Press,Yes,CC BY,No
Oxford Open Materials Science,,2633-6979,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Open Cultural Studies,,2451-3474,English,De Gruyter,No,CC BY,Yes
Open Philosophy,,2543-8875,English,De Gruyter,No,CC BY,Yes
Reviews in Analytical Chemistry,0793-0135,2191-0189,English,De Gruyter,No,CC BY,Yes
Pleura and Peritoneum,,2364-768X,English,De Gruyter,Yes,CC BY,Yes
Green Processing and Synthesis,2191-9542,2191-9550,English,De Gruyter,Yes,CC BY,Yes
Current Directions in Biomedical Engineering,,2364-5504,English,De Gruyter,No,CC BY-NC-ND,No
Zeitschrift für Sprachwissenschaft,0721-9067,1613-3706,"English, German",De Gruyter,No,CC BY,No
Open Chemistry,,2391-5420,English,De Gruyter,No,CC BY,Yes
Open Geosciences,,2391-5447,English,De Gruyter,No,CC BY-NC-ND,Yes
Journal of Causal Inference,2193-3677,2193-3685,English,De Gruyter,No,CC BY,Yes
Advanced Nonlinear Studies,1536-1365,2169-0375,English,De Gruyter,No,"CC BY, CC BY-NC-ND",Yes
The Astronomical Journal,0004-6256,1538-3881,English,IOP Publishing,Yes,CC BY,Yes
The Astrophysical Journal,,1538-4357,English,IOP Publishing,Yes,CC BY,Yes
Architecture_MPS,,2050-9006,English,UCL Press,Yes,CC BY,No
The Southern African Journal of Entrepreneurship and Small Business Management,2522-7343,2071-3185,English,AOSIS,Yes,CC BY,Yes
The Astrophysical Journal Letters,2041-8205,2041-8213,English,IOP Publishing,Yes,CC BY,Yes
The Astrophysical Journal Supplement Series,0067-0049,1538-4365,English,IOP Publishing,Yes,CC BY,Yes
African Journal of Psychological Assessment,2707-1618,2617-2798,English,AOSIS,Yes,CC BY,Yes
Transformation in Higher Education,2415-0991,2519-5638,English,AOSIS,Yes,CC BY,Yes
South African Journal of Physiotherapy,0379-6175,2410-8219,English,AOSIS,Yes,CC BY,Yes
South African Journal of Psychiatry,1608-9685,2078-6786,English,AOSIS,Yes,CC BY,Yes
The Journal for Transdisciplinary Research in Southern Africa,1817-4434,2415-2005,English,AOSIS,Yes,CC BY,Yes
African Journal of Disability,2223-9170,2226-7220,English,AOSIS,Yes,CC BY,Yes
Deutsche Entomologische Zeitschrift,1435-1951,1860-1324,English,Pensoft Publishers,Yes,CC BY,Yes
Evolutionary Systematics,,2535-0730,English,Pensoft Publishers,Yes,CC BY,Yes
Comparative Cytogenetics,1993-0771,1993-078X,English,Pensoft Publishers,Yes,CC BY,Yes
Southern African Journal of HIV Medicine,1608-9693,2078-6751,English,AOSIS,Yes,CC BY,Yes
Verbum et Ecclesia,1609-9982,2074-7705,"German, English, Dutch, Afrikaans",AOSIS,Yes,CC BY,Yes
Evolution Letters,,2056-3744,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Crohn's & Colitis 360,,2631-827X,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Database: The Journal of Biological Databases and Curation,,1758-0463,English,Oxford University Press,No,CC BY,Yes
Horticulture Research,,2052-7276,English,Oxford University Press,No,CC BY,Yes
Policy & Society,1449-4035,1839-3373,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Psychoradiology,,2634-4416,English,Oxford University Press,No,"CC BY, CC BY-NC",No
Oxford Open Climate Change,,2634-4068,English,Oxford University Press,No,CC BY,Yes
Aesthetic Surgery Journal Open Forum,,2631-4797,English,Oxford University Press,No,CC BY,Yes
Biology Methods & Protocols,,2396-8923,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Antibody Therapeutics,,2516-4236,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Mechanics,1727-7191,1811-8216,English,Oxford University Press,No,CC BY,Yes
Journal of Molecular Cell Biology,1674-2788,1759-4685,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Sexual Medicine,,2050-1161,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
European Heart Journal: Case Reports,,2514-2119,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Environmental Epigenetics,,2058-5888,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Global Studies Quarterly,,2634-3797,English,Oxford University Press,No,"CC BY, CC BY-NC-ND",Yes
European Heart Journal: Digital Health,,2634-3916,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
BJS Open,,2474-9842,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Protein & Cell,1674-800X,1674-8018,English,Oxford University Press,No,CC BY,Yes
Bioinformatics,,1367-4811,English,Oxford University Press,No,CC BY,Yes
Gastroenterology Report,,2052-0034,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
European Heart Journal Open,,2752-4191,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
microLife,,2633-6693,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
IEEE Journal of Translational Engineering in Health and Medicine,,2168-2372,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of the Communications Society,,2644-125X,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Power Electronics,,2644-1314,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,,2329-9231,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Antennas and Propagation,,2637-6431,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Access Journal of Power and Energy,,2687-7910,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Photonics Journal,,1943-0655,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of the Industrial Electronics Society,,2644-1284,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Instrumentation and Measurement,,2768-7236,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2151-1535,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Control Systems,,2694-085X,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Engineering in Medicine and Biology,,2644-1276,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Vehicular Technology,,2644-1330,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Intelligent Transportation Systems,,2687-7813,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
History Education Research Journal,,2631-9713,English,UCL Press,Yes,CC BY,No
Film Education Journal,,2515-7086,English,UCL Press,Yes,CC BY,No
Research for All,,2399-8121,English,UCL Press,Yes,CC BY,No
International Journal of Development Education and Global Learning,1756-526X,1756-5278,English,UCL Press,Yes,CC BY,No
The London Journal of Canadian Studies,,2397-0928,English,UCL Press,Yes,CC BY,No
IEEE Transactions on Neural Systems and Rehabilitation Engineering,1534-4320,1558-0210,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
Europe and the World,,2399-2875,English,UCL Press,Yes,CC BY,No
Cuadernos de Lingüística Hispánica,0121-053X,2346-1829,"English, French, Spanish",Universidad Pedagógica y Tecnológica de Colombia,No,CC BY-NC-ND,No
Clinical Medicine Insights: Gastroenterology,,1179-5522,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Therapeutic Advances in Reproductive Health,,2633-4941,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Journal of Experimental Neuroscience,,1179-0695,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Integrative Cancer Therapies,1534-7354,1552-695X,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Journal of Engineered Fibers and Fabrics,,1558-9250,English,SAGE Publishing,No,CC BY,Yes
American Journal of Men's Health,1557-9883,1557-9891,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Digital Health,,2055-2076,English,SAGE Publishing,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Methodological Innovations,,2059-7991,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Chronic Stress,,2470-5470,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
"Journal of Orthopaedics, Trauma and Rehabilitation",2210-4917,2210-4925,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Dose-Response,,1559-3258,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Palliative Care and Social Practice,,2632-3524,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Bioinformatics and Biology Insights,,1177-9322,English,SAGE Publishing,No,"CC BY, CC BY-NC",Yes
Zeitschrift für Junge Religionswissenschaft,,1862-5886,"German, English",Zeitschrift für junge Religionswissenschaft,No,CC BY,No
Viatica,,2275-0827,"English, French",Université Clermont Auvergne,No,CC BY,No
VertigO,,1492-8442,French,Éditions en environnement VertigO,No,CC BY-NC-ND,No
Signata,2032-9806,2565-7097,"French, English",Université de liège,No,CC BY,No
Jurnal Poli Teknologi,1412-2782,2407-9103,"English, Indonesian",Politeknik Negeri Jakarta,No,CC BY-SA,Yes
Annales du Patrimoine,1112-5020,,"French, English, Arabic",University of Mostaganem,No,CC BY-NC-ND,No
الآداب للدراسات النفسية والتربوية,2707-5788,2708-5775,"Arabic, French, English",Faculty of Arts - Thamar University,No,CC BY,Yes
TIPA. Travaux interdisciplinaires sur la parole et le langage,,2264-7082,"French, English",Publications de l’Université de Provence,No,CC BY-NC-ND,No
Cadernos de Estudos Africanos,1645-3794,2182-7400,"Spanish, Portuguese, French, English",Instituto Universitário de Lisboa,No,CC BY-NC-SA,No
Mondes du Tourisme,2109-5671,2492-7503,"French, English",Éditions Touristiques Européennes,No,CC BY-NC-ND,No
Corpus: Archivos Virtuales de la Alteridad Americana,,1853-8037,"Spanish, Portuguese, French, English","Centro Científico y Tecnológico-CONICET, Mendoza & Universidad Nacional de La Pampa",No,CC BY-NC,No
TV Series,,2266-0909,"French, English",Groupe de Recherche Identités et Cultures,No,CC BY-NC-ND,No
Trivium,,1963-1820,"French, German",Fondation Maison des Sciences de l'Homme,No,CC BY-NC-ND,No
Tracés,1763-0061,1963-1812,French,ENS Éditions,No,CC BY-NC-ND,No
Тваринництво та технології харчових продуктів,2706-8331,2706-834X,English,National University of Life and Environmental Sciences of Ukraine,No,CC BY,Yes
E-Management,2658-3445,2686-8407,Russian,State University of Management,Yes,CC BY,No
مهندسی مکانیک شریف,2676-4725,2676-4733,Persian,Sharif University of Technology,No,CC BY,No
Revista Latinoamericana de Estudios Educativos,1900-9895,2500-5324,"English, Spanish",Universidad de Caldas,No,CC BY,No
Szkoła - Zawód - Praca,2082-6087,,"Slovak, German, Ukrainian, English, Polish",Uniwersytet Kazimierza Wielkiego,No,CC BY,No
Akadèmeia,0717-9936,0718-9397,"Spanish, English",Universidad Gabriela Mistral (UGM),No,CC BY-NC-ND,No
Journal of Socio-Economics on Tropical Agriculture (Jurnal Sosial Ekonomi Pertanian Tropis) (JOSETA),,2686-0953,Indonesian,"Jurusan Sosial Ekonomi Fakultas Pertanian, Universitas Andalas",No,CC BY-NC-SA,Yes
Kifah,2962-7486,2830-7852,"English, Indonesian",Mafapress,No,CC BY-SA,No
Recherches Sociologiques et Anthropologiques,1782-1592,2033-7485,"English, French",Université Catholique de Louvain,No,CC BY-NC-ND,No
Image & Text,1021-1497,2617-3255,English,"School of the Arts, University of Pretoria",No,CC BY,No
Revue Internationale de Pédagogie de l’Enseignement Supérieur,,2076-8427,French,Association Internationale de Pédagogie Universitaire,No,CC BY-NC-SA,No
Revue des Langues Romanes,0223-3711,2391-114X,French,Presses universitaires de la Méditerranée,No,CC BY-NC-ND,No
Financial Studies,,2066-6071,English,“Victor Slăvescu” Centre for Financial and Monetary Research,No,CC BY-NC-ND,No
Praxis Educativa,0328-9702,2313-934X,Spanish,Universidad Nacional de La Pampa,No,CC BY-NC-SA,No
Turismo y Patrimonio,1680-9556,2313-853X,"English, Spanish",Universidad de San Martín de Porres,No,CC BY,No
The Review of Korean Studies,1229-0076,2733-9351,English,The Academy of Korean Studies,No,CC BY-ND,No
Old Testament Essays,1010-9919,2312-3621,"Afrikaans, English, French, German, Southern Sotho, Venda, Xhosa, Zulu",Old Testament Society of South Africa,No,CC BY,Yes
Journal of Global Faultlines,2397-7825,2054-2089,English,Pluto Journals,No,CC BY,No
The American Journal of Combinatorics,,2768-4202,English,American Journal of Combinatorics,No,CC BY,No
Jurnal Abdimas Prakasa Dakara,,2776-768X,Indonesian,Lembaga Penelitian Dan Pengabdian Masyarakat STKIP Kusuma Negara,No,CC BY-SA,Yes
Ciencia y Educación,2707-3378,2790-8402,Spanish,Ecuatesis,No,CC BY-NC,No
Jingshui jishu,1009-0177,,Chinese,Editorial Office of  WATER PURIFICATION TECHNOLOGY,No,CC BY-NC-ND,Yes
Arc,0229-2807,2817-1799,"French, English",McGill University Library,No,CC BY-NC-ND,No
زبان پژوهی,2008-8833,2538-1989,Persian,Alzahra University,No,CC BY-NC-ND,Yes
Икономика и управление на селското стопанство,0205-3845,2534-9872,"Bulgarian, English",Agricultural Academy,No,CC BY-NC-SA,No
Journal of Lipid and Atherosclerosis,2287-2892,2288-2561,English,The Korean Society of Lipid and Atherosclerosis,No,CC BY-NC,No
Journal of Arts and Cultural Studies,2950-869X,2951-0627,English,Korea Institute for Humanities and Social Sciences,No,CC BY,Yes
"Почвознание, агрохимия и екология",0861-9425,2534-9864,"Bulgarian, English",Agricultural Academy,No,CC BY-NC-SA,No
Starinar,0350-0241,2406-0739,"English, French, German, Serbian","Institute of Archaeology, Belgrade, Serbia",No,CC BY-NC-ND,No
Frontiers in Clinical Diabetes and Healthcare,,2673-6616,English,Frontiers Media S.A.,Yes,CC BY,Yes
Frontiers in Communication,,2297-900X,English,Frontiers Media S.A.,Yes,CC BY,Yes
Frontiers in Medical Technology,,2673-3129,English,Frontiers Media S.A.,Yes,CC BY,Yes
Sciences du Jeu,,2269-2657,French,Laboratoire Experice,No,CC BY-NC-ND,No
InPrime,2686-5335,2716-2478,English,UIN Syarif Hidayatullah,No,CC BY-SA,No
Diá-logos,1996-1642,2958-9754,"Spanish, English, Portuguese",Editorial Universidad Don Bosco,No,CC BY-NC-ND,No
Frontiers in Chemical Engineering,,2673-2718,English,Frontiers Media S.A.,Yes,CC BY,Yes
Sociétés et Jeunesses en Difficulté,,1953-8375,"English, French",Ecole Nationale de Protection Judiciaire de la Jeunesse,No,CC BY-NC-ND,No
South Asia Multidisciplinary Academic Journal,,1960-6060,English,Centre d’Etudes de l’Inde et de l’Asie du Sud,No,CC BY-NC-ND,No
Teatervitenskapelige Studier,0801-8294,2535-7662,"Norwegian, Danish, Swedish, English",Bergen Open Access Publishing,No,CC BY,No
Българска неврология,1311-8641,2815-2522,"English, Bulgarian",Bulgarian Society of Neurology,No,CC BY,No
نگره,,2676-7244,Persian,"Faculty of Art, Shahed University",No,CC BY,Yes
Annali di Stomatologia,1824-0852,1971-1441,English,Publymed,No,CC BY-NC-ND,No
Sillages Critiques,1272-3819,1969-6302,"French, English","Centre de Recherche ""Texte et Critique de Texte""",No,CC BY-NC-ND,No
Online Journal of Public Health Informatics,,1947-2579,English,JMIR Publications,No,CC BY,Yes
JMIR Perioperative Medicine,,2561-9128,English,JMIR Publications,Yes,CC BY,Yes
Journal of Participatory Medicine,,2152-7202,English,JMIR Publications,Yes,CC BY,Yes
JMIRx Med,,2563-6316,English,JMIR Publications,Yes,CC BY,Yes
JMIR Dermatology,,2562-0959,English,JMIR Publications,Yes,CC BY,Yes
Maǧallaẗ Al-Turāṯ wa Al-Taṣmīm,2735-5071,2735-508X,Arabic,The Arab Association of Civilization and Islamic Arts,No,CC BY,Yes
